text,urgency
Need someone to translate our brochure from English to Marathi,low
Clean drinking water required immediately in village after pipeline burst,high
Need volunteers to distribute flyers in the neighborhood,low
Clean drinking water required immediately in village after pipeline burst,high
"Severe oxygen shortage in local hospital, patients dying, immediate supply needed",critical
Urgent blood donation required for rare blood type patient,high
Emergency first-aid volunteers needed for the upcoming marathon,high
Urgent blood donation required for rare blood type patient,high
Data entry volunteers required for digitizing old records,low
Need volunteers to distribute flyers in the neighborhood,low
Volunteers required to paint the local government school walls,medium
"Bomb blast in market, mass casualties, need emergency doctors and ambulances",critical
Need volunteers to help organize the annual charity run,medium
Looking for volunteers to teach underprivileged kids on weekends,medium
"Multi-vehicle accident on highway, multiple casualties, urgent blood donation required",critical
"Major earthquake struck the city, multiple buildings collapsed, immediate rescue needed",critical
Looking for volunteers to teach underprivileged kids on weekends,medium
Need help updating our community website with new photos,low
"Tree plantation drive happening this Sunday, need hands",medium
"Severe oxygen shortage in local hospital, patients dying, immediate supply needed",critical
"Medical supplies running low at the relief camp, need immediate restocking",high
"Tree plantation drive happening this Sunday, need hands",medium
Food distribution for 500 homeless people affected by the recent storm,high
Urgent rescue of stray animals trapped in flooded area,high
"Bomb blast in market, mass casualties, need emergency doctors and ambulances",critical
Urgent rescue of stray animals trapped in flooded area,high
Help required to arrange chairs for the upcoming seminar,low
"Severe oxygen shortage in local hospital, patients dying, immediate supply needed",critical
"Building collapse trapping dozens, search and rescue dogs needed immediately",critical
Emergency first-aid volunteers needed for the upcoming marathon,high
Volunteers required to paint the local government school walls,medium
Seeking a photographer to cover our annual general meeting next month,low
Temporary shelters needed for displaced families before winter starts,high
Community awareness workshop on hygiene and sanitation next week,medium
"Medical supplies running low at the relief camp, need immediate restocking",high
"Tsunami warning issued, urgent help needed to evacuate coastal areas",critical
"Tree plantation drive happening this Sunday, need hands",medium
Need volunteers to distribute flyers in the neighborhood,low
"Multi-vehicle accident on highway, multiple casualties, urgent blood donation required",critical
Need volunteers to distribute flyers in the neighborhood,low
"Massive fire in a residential building, need firefighters and emergency medical staff right now",critical
Looking for people to assess the damage after the storm in rural areas,medium
Food distribution for 500 homeless people affected by the recent storm,high
Urgent rescue of stray animals trapped in flooded area,high
Looking for people to assess the damage after the storm in rural areas,medium
Need counselors to conduct a mental health workshop for teenagers,medium
"Medical supplies running low at the relief camp, need immediate restocking",high
Community awareness workshop on hygiene and sanitation next week,medium
Urgent rescue of stray animals trapped in flooded area,high
Looking for volunteers to teach underprivileged kids on weekends,medium
"Tsunami warning issued, urgent help needed to evacuate coastal areas",critical
Community awareness workshop on hygiene and sanitation next week,medium
"Bomb blast in market, mass casualties, need emergency doctors and ambulances",critical
Looking for volunteers to teach underprivileged kids on weekends,medium
Help needed to sort donated clothes at the community center,medium
Looking for people to assess the damage after the storm in rural areas,medium
Looking for volunteers to teach underprivileged kids on weekends,medium
Need someone to translate our brochure from English to Marathi,low
"Building collapse trapping dozens, search and rescue dogs needed immediately",critical
Need someone to translate our brochure from English to Marathi,low
Urgent blood donation required for rare blood type patient,high
Need someone to translate our brochure from English to Marathi,low
"Flood victims stranded on roofs, immediate evacuation required",critical
Emergency first-aid volunteers needed for the upcoming marathon,high
Urgent rescue of stray animals trapped in flooded area,high
Need help updating our community website with new photos,low
Help required to arrange chairs for the upcoming seminar,low
Volunteers required to paint the local government school walls,medium
Need counselors to conduct a mental health workshop for teenagers,medium
Urgent rescue of stray animals trapped in flooded area,high
Food distribution for 500 homeless people affected by the recent storm,high
Help needed to sort donated clothes at the community center,medium
Looking for people to assess the damage after the storm in rural areas,medium
Need help updating our community website with new photos,low
Food distribution for 500 homeless people affected by the recent storm,high
"Flood victims stranded on roofs, immediate evacuation required",critical
Need volunteers to help organize the annual charity run,medium
"Flood victims stranded on roofs, immediate evacuation required",critical
Need someone to translate our brochure from English to Marathi,low
Seeking a photographer to cover our annual general meeting next month,low
"Building collapse trapping dozens, search and rescue dogs needed immediately",critical
Need help updating our community website with new photos,low
Need volunteers to help organize the annual charity run,medium
"Massive fire in a residential building, need firefighters and emergency medical staff right now",critical
"Tree plantation drive happening this Sunday, need hands",medium
Seeking a photographer to cover our annual general meeting next month,low
Food distribution for 500 homeless people affected by the recent storm,high
Urgent rescue of stray animals trapped in flooded area,high
Need volunteers to help organize the annual charity run,medium
Clean drinking water required immediately in village after pipeline burst,high
Seeking a photographer to cover our annual general meeting next month,low
Urgent rescue of stray animals trapped in flooded area,high
Community awareness workshop on hygiene and sanitation next week,medium
"Building collapse trapping dozens, search and rescue dogs needed immediately",critical
"Multi-vehicle accident on highway, multiple casualties, urgent blood donation required",critical
Urgent blood donation required for rare blood type patient,high
Help required to arrange chairs for the upcoming seminar,low
Data entry volunteers required for digitizing old records,low
Emergency first-aid volunteers needed for the upcoming marathon,high
Data entry volunteers required for digitizing old records,low
Emergency first-aid volunteers needed for the upcoming marathon,high
Looking for people to assess the damage after the storm in rural areas,medium
Social media manager needed to post updates on our Facebook page,low
Need help updating our community website with new photos,low
Need someone to translate our brochure from English to Marathi,low
Community awareness workshop on hygiene and sanitation next week,medium
Looking for volunteers to teach underprivileged kids on weekends,medium
Help needed to sort donated clothes at the community center,medium
Urgent blood donation required for rare blood type patient,high
Need doctors for a free health checkup camp in a slum area this weekend,high
Looking for someone to design a poster for our NGO event,low
"Tree plantation drive happening this Sunday, need hands",medium
Food distribution for 500 homeless people affected by the recent storm,high
Help required to arrange chairs for the upcoming seminar,low
Volunteers required to paint the local government school walls,medium
"Multi-vehicle accident on highway, multiple casualties, urgent blood donation required",critical
Need help updating our community website with new photos,low
Need counselors to conduct a mental health workshop for teenagers,medium
Need volunteers to distribute flyers in the neighborhood,low
Temporary shelters needed for displaced families before winter starts,high
"Flood victims stranded on roofs, immediate evacuation required",critical
Community awareness workshop on hygiene and sanitation next week,medium
