text,medical,teaching,logistics,cooking,counseling,driving,construction,tech,translation,first-aid
Need counselors to talk to traumatized children after the disaster.,0,0,0,0,1,0,0,0,0,0
Translate documents for the refugees.,0,0,0,0,0,0,0,0,1,0
Translate documents for the refugees.,0,0,0,0,0,0,0,0,1,0
Need structural engineers to assess earthquake damage.,0,0,0,0,0,0,1,0,0,0
Need counselors to talk to traumatized children after the disaster.,0,0,0,0,1,0,0,0,0,0
Looking for someone to transport food supplies to the shelter.,0,0,1,0,0,1,0,0,0,0
We need doctors and nurses for a blood donation drive.,1,0,0,0,0,0,0,0,0,1
Need counselors to talk to traumatized children after the disaster.,0,0,0,0,1,0,0,0,0,0
Cooking large batches of rice and teaching people basic hygiene.,1,1,0,1,0,0,0,0,0,0
"First responder training camp next week, need certified instructors.",0,1,0,0,0,0,0,0,0,1
Setting up a medical camp with mobile clinics.,1,0,0,0,0,1,0,0,0,0
Transporting building materials to the rural school site.,0,0,1,0,0,1,1,0,0,0
Web developers and data entry volunteers needed.,0,0,0,0,0,0,0,1,0,0
Web developers and data entry volunteers needed.,0,0,0,0,0,0,0,1,0,0
Looking for someone to transport food supplies to the shelter.,0,0,1,0,0,1,0,0,0,0
Setting up a medical camp with mobile clinics.,1,0,0,0,0,1,0,0,0,0
Web developers and data entry volunteers needed.,0,0,0,0,0,0,0,1,0,0
Web developers and data entry volunteers needed.,0,0,0,0,0,0,0,1,0,0
Seeking software engineers to build our NGO website.,0,0,0,0,0,0,0,1,0,0
Need counselors to talk to traumatized children after the disaster.,0,0,0,0,1,0,0,0,0,0
Need structural engineers to assess earthquake damage.,0,0,0,0,0,0,1,0,0,0
Need volunteers to prepare meals for the homeless.,0,0,0,1,0,0,0,0,0,0
Setting up a medical camp with mobile clinics.,1,0,0,0,0,1,0,0,0,0
Transporting building materials to the rural school site.,0,0,1,0,0,1,1,0,0,0
"First responder training camp next week, need certified instructors.",0,1,0,0,0,0,0,0,0,1
Help required to build temporary shelters for flood victims.,0,0,1,0,0,0,1,0,0,0
We need doctors and nurses for a blood donation drive.,1,0,0,0,0,0,0,0,0,1
Psychological support needed for victims.,0,0,0,0,1,0,0,0,0,0
Seeking software engineers to build our NGO website.,0,0,0,0,0,0,0,1,0,0
Help required to build temporary shelters for flood victims.,0,0,1,0,0,0,1,0,0,0
Translate documents for the refugees.,0,0,0,0,0,0,0,0,1,0
Web developers and data entry volunteers needed.,0,0,0,0,0,0,0,1,0,0
We need doctors and nurses for a blood donation drive.,1,0,0,0,0,0,0,0,0,1
Transporting building materials to the rural school site.,0,0,1,0,0,1,1,0,0,0
Translate documents for the refugees.,0,0,0,0,0,0,0,0,1,0
Cooking large batches of rice and teaching people basic hygiene.,1,1,0,1,0,0,0,0,0,0
We need doctors and nurses for a blood donation drive.,1,0,0,0,0,0,0,0,0,1
Setting up a medical camp with mobile clinics.,1,0,0,0,0,1,0,0,0,0
Need structural engineers to assess earthquake damage.,0,0,0,0,0,0,1,0,0,0
Transporting building materials to the rural school site.,0,0,1,0,0,1,1,0,0,0
Web developers and data entry volunteers needed.,0,0,0,0,0,0,0,1,0,0
Seeking software engineers to build our NGO website.,0,0,0,0,0,0,0,1,0,0
Looking for english to spanish translators for our medical brochures.,0,0,0,0,0,0,0,1,1,0
Transporting building materials to the rural school site.,0,0,1,0,0,1,1,0,0,0
Transporting building materials to the rural school site.,0,0,1,0,0,1,1,0,0,0
Transporting building materials to the rural school site.,0,0,1,0,0,1,1,0,0,0
Looking for english to spanish translators for our medical brochures.,0,0,0,0,0,0,0,1,1,0
We need doctors and nurses for a blood donation drive.,1,0,0,0,0,0,0,0,0,1
We need doctors and nurses for a blood donation drive.,1,0,0,0,0,0,0,0,0,1
Seeking software engineers to build our NGO website.,0,0,0,0,0,0,0,1,0,0
Web developers and data entry volunteers needed.,0,0,0,0,0,0,0,1,0,0
Looking for english to spanish translators for our medical brochures.,0,0,0,0,0,0,0,1,1,0
Psychological support needed for victims.,0,0,0,0,1,0,0,0,0,0
Help required to build temporary shelters for flood victims.,0,0,1,0,0,0,1,0,0,0
Help required to build temporary shelters for flood victims.,0,0,1,0,0,0,1,0,0,0
Looking for someone to transport food supplies to the shelter.,0,0,1,0,0,1,0,0,0,0
We need doctors and nurses for a blood donation drive.,1,0,0,0,0,0,0,0,0,1
Setting up a medical camp with mobile clinics.,1,0,0,0,0,1,0,0,0,0
Transporting building materials to the rural school site.,0,0,1,0,0,1,1,0,0,0
Setting up a medical camp with mobile clinics.,1,0,0,0,0,1,0,0,0,0
Setting up a medical camp with mobile clinics.,1,0,0,0,0,1,0,0,0,0
Need counselors to talk to traumatized children after the disaster.,0,0,0,0,1,0,0,0,0,0
Help required to build temporary shelters for flood victims.,0,0,1,0,0,0,1,0,0,0
Need volunteers to prepare meals for the homeless.,0,0,0,1,0,0,0,0,0,0
Transporting building materials to the rural school site.,0,0,1,0,0,1,1,0,0,0
Web developers and data entry volunteers needed.,0,0,0,0,0,0,0,1,0,0
Seeking software engineers to build our NGO website.,0,0,0,0,0,0,0,1,0,0
